,TickerYahoo,Name,Market Cap,Country,IPO Year,Industry
0,AVNW,Aviat Networks Inc. Common Stock,386508136.00,United States,,Radio And Television Broadcasting And Communications Equipment
0,AVPT,AvePoint Inc. Class A Common Stock,1673169991.00,United States,2019,Computer Software: Prepackaged Software
0,AVT,Avnet Inc. Common Stock,4854096203.00,United States,,Electronic Components
0,AWRE,Aware Inc. Common Stock,40061945.00,United States,1996,Computer Software: Prepackaged Software
0,AXTI,AXT Inc Common Stock,162943754.00,United States,1998,Semiconductors
0,AZTA,Azenta Inc.,2732072386.00,United States,,Industrial Machinery/Components
0,BAND,Bandwidth Inc. Class A Common Stock,549877118.00,United States,2017,Computer Software: Prepackaged Software
0,BASE,Couchbase Inc. Common Stock,1260140045.00,United States,2021,Computer Software: Prepackaged Software
0,BB,BlackBerry Limited Common Stock,1630704005.00,Canada,,Computer Software: Prepackaged Software
0,BBAI,BigBear.ai Inc. Common Stock,381417921.00,United States,2021,Computer Software: Prepackaged Software
0,BEEM,Beam Global Common Stock,88823826.00,United States,,Semiconductors
0,BHE,Benchmark Electronics Inc. Common Stock,1569433131.00,United States,,Electrical Products
0,BIDU,Baidu Inc. ADS,34625003424.00,China,2005,Computer Software: Programming Data Processing
0,BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,639446711.00,United States,2020,Computer Software: Prepackaged Software
0,BILI,Bilibili Inc. American Depositary Shares,5625940675.00,China,2018,EDP Services
0,BILL,BILL Holdings Inc. Common Stock,5397085417.00,United States,2019,EDP Services
0,BKSY,BlackSky Technology Inc. Class A Common Stock,160338843.00,United States,2019,Radio And Television Broadcasting And Communications Equipment
0,BKTI,BK Technologies Corporation Common Stock,49663754.00,United States,,Radio And Television Broadcasting And Communications Equipment
0,BKYI,BIO-key International Inc. Common Stock,1750354.00,United States,,Computer Software: Prepackaged Software
0,BL,BlackLine Inc. Common Stock,3010507867.00,United States,2016,Computer Software: Prepackaged Software
0,BLBX,Blackboxstocks Inc. Common Stock,9455508.00,United States,,EDP Services
0,BLIN,Bridgeline Digital Inc. Common Stock,12167767.00,United States,2007,Computer Software: Prepackaged Software
0,BLKB,Blackbaud Inc. Common Stock,3993276979.00,United States,2004,Computer Software: Prepackaged Software
0,BLND,Blend Labs Inc. Class A Common Stock,776061135.00,United States,2021,Computer Software: Programming Data Processing
0,BLZE,Backblaze Inc. Class A Common Stock,280540000.00,United States,2021,Computer Software: Prepackaged Software
0,BMBL,Bumble Inc. Class A Common Stock,1434247328.00,United States,2021,Computer Software: Programming Data Processing
0,BMR,Beamr Imaging Ltd. Ordinary Share,65909282.00,Israel,2023,Computer Software: Prepackaged Software
0,BNAI,Brand Engagement Network Inc. Common Stock,80739097.00,United States,2021,EDP Services
0,BNZI,Banzai International Inc. Class A Common Stock,4662040.00,United States,2021,Computer Software: Prepackaged Software
0,BOX,Box Inc. Class A Common Stock,3922592311.00,United States,2015,Computer Software: Prepackaged Software
0,BRAG,Bragg Gaming Group Inc. Common Shares,143497746.00,Canada,,Office Equipment/Supplies/Services
0,BRZE,Braze Inc. Class A Common Stock,4158536149.00,United States,2021,Computer Software: Prepackaged Software
0,BSY,Bentley Systems Incorporated Class B Common Stock,15622510936.00,United States,2020,Computer Software: Prepackaged Software
0,BTCM,BIT Mining Limited ADS,29399873.00,,2013,EDP Services
0,BZ,KANZHUN LIMITED American Depository Shares,9007490092.00,China,2021,Computer Software: Programming Data Processing
0,CACI,CACI International Inc. Class A Common Stock,9358695133.00,United States,,EDP Services
0,CAMP,CalAmp Corp. Common Stock,5365240.00,United States,1983,Radio And Television Broadcasting And Communications Equipment
0,CAMT,Camtek Ltd. Ordinary Shares,4881704344.00,Israel,2000,Electronic Components
0,CAN,Canaan Inc. American Depositary Shares,260628709.00,China,2019,Semiconductors
0,CANG,Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares,166818662.00,,2018,Computer Software: Prepackaged Software
0,CARG,CarGurus Inc. Class A Common Stock ,2451648137.00,United States,2017,EDP Services
0,CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,7036989525.00,United States,,Computer Software: Prepackaged Software
0,CCLD,CareCloud Inc. Common Stock,43203656.00,United States,2014,Computer Software: Prepackaged Software
0,CCLDO,CareCloud Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock,192641554.00,United States,,Computer Software: Prepackaged Software
0,CCRD,CoreCard Corporation Common Stock,113434536.00,United States,1986,Computer Software: Prepackaged Software
0,CCSI,Consensus Cloud Solutions Inc. Common Stock,377676321.00,United States,,Computer Software: Prepackaged Software
0,CDLX,Cardlytics Inc. Common Stock,462463229.00,United States,2018,Computer Software: Programming Data Processing
0,CDNS,Cadence Design Systems Inc. Common Stock,79531161500.00,United States,,Computer Software: Prepackaged Software
0,CERS,Cerus Corporation Common Stock,326330975.00,United States,1997,EDP Services
0,CERT,Certara Inc. Common Stock,2645841869.00,United States,2020,Computer Software: Prepackaged Software
0,CETX,Cemtrex Inc. Common Stock,4314176.00,United States,,EDP Services
0,CEVA,CEVA Inc. Common Stock,468105519.00,United States,,Semiconductors
