Strategy,Annual Return,Volatility,Sharpe,Max DD,Win Rate
Top 5 (1-month),1.3106159381423375,0.22235415308005987,5.894272357802297,-0.16851742379543522,0.6689453125
Top 10 (1-month),1.009873373717502,0.19434262878892028,5.196355426551049,-0.21441953703960936,0.65673828125
Top 5 (3-month),0.7911959438448022,0.208230160658645,3.799622212950324,-0.22117955817993118,0.6044921875
Top 10 (3-month),0.6239957889198734,0.18613965816357306,3.352298994615793,-0.2352931445781029,0.597900390625
Top 5 (6-month),0.5891023021753906,0.2096594335659044,2.8098058463475337,-0.2633014825546358,0.572998046875
Top 10 (6-month),0.46988296353509523,0.1858734657745656,2.5279722502456976,-0.2686282512415562,0.56982421875
Top 5 (12-month),0.4924885179300651,0.21119906837434915,2.331868799047598,-0.29410988556668705,0.548828125
Top 10 (12-month),0.3864583435979366,0.184654474620181,2.09287288809464,-0.282946664031562,0.54638671875
