ETF;ISIN;TER;AUM;Perf. 5 ans;Catégorie;ETF recommandé;Frais;Encours
BNP EASY ESG EUROZONE BIODIVERSITY;LU2446381555;0.0034999999999999996;18.0;;;;;
WISDOMTREE EUROZONE EFFICIENT CORE;IE000OV4XWA3;0.002;3.0;;;;;
SPDR S&P EURO DIVIDEND ARISTOCRATS;IE00B5M1WJ87;0.003;;0.6945999999999999;;;;
UBS MSCI EMU SOCIALLY RESPONSIBLE (Dist);LU0629460675;0.002;830.0;0.5136999999999999;;;;
UBS MSCI EMU SOCIALLY RESPONSIBLE;LU0950674761;;;;;;;
UBS MSCI EMU SOCIALLY RESPONSIBLE GBP H;LU1280300853;0.0023;88.0;0.5853;;;;
ISHARES MSCI EMU SRI;IE00BJLKK341;0.002;36.0;0.49920000000000003;;;;
XTRACKERS EUROSTOXX QUALITY DIVIDEND;LU0292095535;0.003;519.0;0.9799;;;;
AMUNDI MSCI EMU HIGH DIVIDEND;FR0010717090;0.003;304.0;0.6807;;;;
AMUNDI MSCI EMU VALUE FACTOR;LU1598690169;0.004;243.0;1.0796;;;;
EURO STOXX SELECT DIVIDEND 30 (Amundi);LU1812092168;0.003;409.0;0.9333;;;;
ISHARES DJ EUROZONE SUSTAINABLE;DE000A0F5U63;;;;;;;
SPDR EURO STOXX LOW VOLATILITY;IE00BFTWP510;0.003;36.0;0.6233;;;;
WT EURO QUALITY DIVIDEND GROWTH;IE00BZ56TQ67;0.0029;39.0;0.40850000000000003;;;;
INVESCO EURO STOXX HIGH DIV LOW VOL;IE00BZ4BMM98;0.003;365.0;1.0211;;;;
XTRACKERS MSCI EMU HIGH DIV YIELD ESG;IE000VCBWFL8;0.0025;19.0;;;;;
ISHARES CORE DAX (DE);DE0005933931;0.0016;;0.7848;;;;
XTRACKERS DAX 1C;LU0274211480;0.0009;;0.792;;;;
AMUNDI DAX II (Acc);LU2090062436;0.0015;79.0;0.7867000000000001;;;;
AMUNDI DAX II (Dist);LU2090062519;;;;;;;
AMUNDI ETF DAX;FR0010655712;0.001;;0.7898999999999999;;;;
VANGUARD GERMANY ALL CAPS;IE00BG143G97;0.0007000000000000001;274.0;0.6139;;;;
AMUNDI MDAX;FR0011857234;0.002;318.0;-0.0054;;;;
ISHARES MDAX (DE);DE0005933923;0.0051;;-0.0197;;;;
XTRACKERS MDAX ESG SCREENED;IE00B9MRJJ36;0.004;92.0;-0.079;;;;
ISHARES TECDAX (DE);DE0005933972;0.0051;640.0;0.09759999999999999;;;;
ISHARES TECDAX (DE) Dist;DE000A2QP323;0.0051;8.0;;;;;
XTRACKERS DAX ESG SCREENED;LU1221102491;0.0019;16.0;0.9024;;;;
FIRST TRUST GERMANY ALPHADEX;IE00BWTNM966;0.006500000000000001;8.0;0.5728;;;;
ISHARES AEX;IE00B0M62Y33;0.003;711.0;0.7465;;;;
AMUNDI FTSE MIB;FR0010010827;0.0034999999999999996;653.0;1.554;;;;
AMUNDI ITALY MIB ESG;LU1681037518;0.0018;156.0;1.4391;;;;
ISHARES FTSE MIB;IE00B53L4X51;;;;;;;
AMUNDI IBEX 35;FR0010655746;0.003;433.0;1.6525999999999998;;;;
AMUNDI MSCI GREECE;FR0010405431;0.0045000000000000005;433.0;2.3552;;;;
ISHARES AEX (Pays-Bas);IE00B0M62Y33;0.003;711.0;0.7465;;;;
VANGUARD FTSE DEV. EUROPE EX UK;IE00BKX55S42;0.001;;0.7605;;;;
