Name,Isin,TickerYahoo,Market,Currency
AMUNDI ETF DAX DR,FR0010655712,CG1.PA,Euronext Paris,EUR
AMUNDI ETF DAX DS2,FR0010869495,DSD.PA,Euronext Paris,EUR
AMUNDI ETF DIV EUR,LU0959210278,EUDIV.PA,Euronext Paris,EUR
AMUNDI ETF DIV EUR,LU0959210781,EDIV.PA,Euronext Paris,EUR
AMUNDI ETF DJIA,FR0007056841,DJE.PA,Euronext Paris,EUR
AMUNDI ETF EASTERN,LU1900066462,CEC.PA,Euronext Paris,EUR
AMUNDI ETF EM AS U,LU1681044563,AASU.PA,Euronext Paris,USD
AMUNDI ETF EM ASIA,LU1681044480,AASI.PA,Euronext Paris,EUR
AMUNDI ETF EM LA U,LU1681045297,ALAU.PA,Euronext Paris,USD
AMUNDI ETF EM LATA,LU1681045024,ALAT.PA,Euronext Paris,EUR
AMUNDI ETF EMU HDV,FR0010717090,CD8.PA,Euronext Paris,EUR
AMUNDI ETF ES50 C,LU1681047236,C50.PA,Euronext Paris,EUR
AMUNDI ETF ES50 D,LU1681047319,CD5.PA,Euronext Paris,EUR
AMUNDI ETF EU BANK,FR0010688176,CB5.PA,Euronext Paris,EUR
AMUNDI ETF EU GROW,LU1681042435,CG9.PA,Euronext Paris,EUR
AMUNDI ETF EU HDVD,LU1681041973,CD9.PA,Euronext Paris,EUR
AMUNDI ETF EU HEAL,FR0010688192,CH5.PA,Euronext Paris,EUR
AMUNDI ETF EU VALU,LU1681042518,CV9.PA,Euronext Paris,EUR
AMUNDI ETF EU X EM,FR0010821819,CU9.PA,Euronext Paris,EUR
AMUNDI ETF EU X SW,LU1681044308,CS9.PA,Euronext Paris,EUR
AMUNDI ETF EUR CRP,LU1681039647,CC4.PA,Euronext Paris,EUR
AMUNDI ETF EUR MID,LU1681041544,CEM.PA,Euronext Paris,EUR
AMUNDI ETF EX AAA,LU1681046774,X1G.PA,Euronext Paris,EUR
AMUNDI ETF FRN 1 3,LU1681041114,AFRN.PA,Euronext Paris,EUR
AMUNDI ETF GOVT EM,LU1681041205,AGEB.PA,Euronext Paris,USD
AMUNDI ETF GV 0-6M,FR0010754200,C3M.PA,Euronext Paris,EUR
AMUNDI ETF IG 7-10,FR0010754184,C73.PA,Euronext Paris,EUR
AMUNDI ETF IG ALL,LU1681046261,CB3.PA,Euronext Paris,EUR
AMUNDI ETF INDIA,FR0010361683,INR.PA,Euronext Paris,EUR
AMUNDI ETF INDIA-B,LU1681043169,CI2U.PA,Euronext Paris,USD
AMUNDI ETF LEV CAC,FR0010592014,LVC.PA,Euronext Paris,EUR
AMUNDI ETF LEV USA,FR0010755611,CL2.PA,Euronext Paris,EUR
AMUNDI ETF LEVDAX,LU0252634307,LVD.PA,Euronext Paris,EUR
AMUNDI ETF MIB,LU1681037518,FMI.PA,Euronext Paris,EUR
AMUNDI ETF MS CHN,LU1681043912,CC1.PA,Euronext Paris,EUR
AMUNDI ETF MS E EN,FR0010930644,ANRJ.PA,Euronext Paris,EUR
AMUNDI ETF MS EM B,LU1681045453,AUEM.PA,Euronext Paris,USD
AMUNDI ETF MS FRA,FR0010655704,CF1.PA,Euronext Paris,EUR
AMUNDI ETF MS IND,LU1681043086,CI2.PA,Euronext Paris,EUR
AMUNDI ETF MS NOR,LU1681044647,CN1.PA,Euronext Paris,EUR
AMUNDI ETF MS SPA,FR0010655746,CS1.PA,Euronext Paris,EUR
AMUNDI ETF MS SWI,LU1681044720,CSW.PA,Euronext Paris,EUR
AMUNDI ETF MSC WHC,LU0533033238,HLTW.PA,Euronext Paris,EUR
AMUNDI ETF MSCI EM,LU1681045370,AEEM.PA,Euronext Paris,EUR
AMUNDI ETF MSCI EM,FR0010429068,LEM.PA,Euronext Paris,EUR
AMUNDI ETF MSCI US,LU1681042864,CU2.PA,Euronext Paris,EUR
AMUNDI ETF MSCI WR,LU1681043599,CW8.PA,Euronext Paris,EUR
AMUNDI ETF MSCIIND,LU1900065811,INDO.PA,Euronext Paris,EUR
AMUNDI ETF NDX 100,LU1681038243,ANX.PA,Euronext Paris,EUR
AMUNDI ETF NDX-B,LU1681038326,ANXU.PA,Euronext Paris,USD
AMUNDI ETF SGQIEUR,LU0832436512,SGQI.PA,Euronext Paris,EUR
AMUNDI ETF SHT CAC,FR0010591362,SHC.PA,Euronext Paris,EUR
AMUNDI ETF SHT USA,FR0010791194,C2U.PA,Euronext Paris,EUR
AMUNDI ETF SP 500,LU1681048804,500.PA,Euronext Paris,EUR
AMUNDI ETF SP5 DH,LU0959211243,SP5H.PA,Euronext Paris,EUR
AMUNDI ETF SP500,LU0496786574,SP5.PA,Euronext Paris,EUR
AMUNDI ETF SP500 B,LU1681049018,500U.PA,Euronext Paris,USD
AMUNDI ETF STOX600,LU1681040223,C6E.PA,Euronext Paris,EUR
AMUNDI ETF STOXX50,FR0010790980,C5E.PA,Euronext Paris,EUR
