Name,ISIN,Symbol,Market,Currency,size,TickerYahoo,index
NEDAP,NL0000371243,NEDAP,Euronext Amsterdam,EUR,mid-cap,NEDAP.AS,
NEXITY,FR0010112524,NXI,Euronext Paris,EUR,mid-cap,NXI.PA,
NEXTENSA,BE0003770840,NEXTA,Euronext Brussels,EUR,mid-cap,NEXTA.BR,
NRJ GROUP,FR0000121691,NRG,Euronext Paris,EUR,mid-cap,NRG.PA,
NSI N.V.,NL0012365084,NSI,Euronext Amsterdam,EUR,mid-cap,NSI.AS,
NX FILTRATION,NL0015000D50,NXFIL,Euronext Amsterdam,EUR,mid-cap,NXFIL.AS,
NYXOAH,BE0974358906,NYXH,Euronext Brussels,EUR,mid-cap,NYXH.BR,
OENEO,FR0000052680,SBT,Euronext Paris,EUR,mid-cap,SBT.PA,
ONTEX GROUP,BE0974276082,ONTEX,Euronext Brussels,EUR,mid-cap,ONTEX.BR,
ORANGE BELGIUM,BE0003735496,OBEL,Euronext Brussels,EUR,mid-cap,OBEL.BR,
OSE IMMUNO,FR0012127173,OSE,Euronext Paris,EUR,mid-cap,OSE.PA,
PATRIMOINE ET COMM,FR0011027135,PAT,Euronext Paris,EUR,mid-cap,PAT.PA,
PERRIER (GERARD),FR0000061459,PERR,Euronext Paris,EUR,mid-cap,PERR.PA,
PHARMING GROUP,NL0010391025,PHARM,Euronext Amsterdam,EUR,mid-cap,PHARM.AS,
PIERRE VACANCES,FR0000073041,VAC,Euronext Paris,EUR,mid-cap,VAC.PA,
POSTNL,NL0009739416,PNL,Euronext Amsterdam,EUR,mid-cap,PNL.AS,
QUADIENT,FR0000120560,QDT,Euronext Paris,EUR,mid-cap,QDT.PA,
RECTICEL,BE0003656676,RECT,Euronext Brussels,EUR,mid-cap,RECT.BR,
RETAIL ESTATES,BE0003720340,RET,Euronext Brussels,EUR,mid-cap,RET.BR,
ROCHE BOBOIS,FR0013344173,RBO,Euronext Paris,EUR,mid-cap,RBO.PA,
ROULARTA,BE0003741551,ROU,Euronext Brussels,EUR,mid-cap,ROU.BR,
SAMSE,FR0000060071,SAMS,Euronext Paris,EUR,mid-cap,SAMS.PA,
SAVENCIA,FR0000120107,SAVE,Euronext Paris,EUR,mid-cap,SAVE.PA,
SECHE ENVIRONNEM.,FR0000039109,SCHP,Euronext Paris,EUR,mid-cap,SCHP.PA,
SELECTIRENTE,FR0004175842,SELER,Euronext Paris,EUR,mid-cap,SELER.PA,
SIF HOLDING,NL0011660485,SIFG,Euronext Amsterdam,EUR,mid-cap,SIFG.AS,
SIPEF,BE0003898187,SIP,Euronext Brussels,EUR,mid-cap,SIP.BR,
SLIGRO FOOD GROUP,NL0000817179,SLIGR,Euronext Amsterdam,EUR,mid-cap,SLIGR.AS,
SMCP,FR0013214145,SMCP,Euronext Paris,EUR,mid-cap,SMCP.PA,
SWORD GROUP,FR0004180578,SWP,Euronext Paris,EUR,mid-cap,SWP.PA,
SYNERGIE,FR0000032658,SDG,Euronext Paris,EUR,mid-cap,SDG.PA,
TARKETT,FR0004188670,TKTT,Euronext Paris,EUR,mid-cap,TKTT.PA,
TFF GROUP,FR0013295789,TFF,Euronext Paris,EUR,mid-cap,TFF.PA,
THEON INTERNAT,CY0200751713,THEON,Euronext Amsterdam,EUR,mid-cap,THEON.AS,
THERMADOR GROUPE,FR0013333432,THEP,Euronext Paris,EUR,mid-cap,THEP.PA,
