ticker,date,open,high,low,close,volume,signal_score,signals,atr_14,rsi_9,ema_10,ema_20,adx_20,macd_12_26,rsi_14,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
DSY.PA,2026-05-05 00:00:00+02:00,19.25,19.639999389648438,19.219999313354492,19.600000381469727,1843752,0.5,"trend,volume_anomaly",0.5767,71.0639,19.0941,18.735,34.347,0.3824,,78,70,2.0,,19.6,18.8503,21.0994,market,pending
EDEN.PA,2026-05-05 00:00:00+02:00,21.309999465942383,21.440000534057617,20.979999542236328,21.18000030517578,550972,0.35,trend,0.6029,56.9182,20.9843,20.2676,43.4922,0.8762,,100,75,2.0,,21.18,20.3962,22.7476,market,pending
SU.PA,2026-05-05 00:00:00+02:00,262.5,273.1000061035156,261.70001220703125,272.95001220703125,908553,0.35,trend,8.7183,57.8032,269.3741,265.6899,40.2965,5.1671,,100,60,2.0,,272.95,261.6162,295.6177,market,pending
STMPA.PA,2026-05-05 00:00:00+02:00,47.0099983215332,48.96500015258789,46.89500045776367,48.79999923706055,3146935,0.5,"trend,volume_anomaly",2.1565,93.1894,43.5671,39.836,55.6326,4.4332,,100,65,2.0,,48.8,45.9966,54.4068,market,pending
TEP.PA,2026-05-05 00:00:00+02:00,60.36000061035156,63.58000183105469,60.279998779296875,63.58000183105469,550066,0.35,trend,2.5625,88.0012,57.2075,55.2519,36.2877,2.0864,,100,65,2.0,,63.58,60.2487,70.2425,market,pending
TTE.PA,2026-05-05 00:00:00+02:00,79.19999694824219,79.38999938964844,78.58000183105469,79.30000305175781,3453462,1.0,"momentum,trend,volume_anomaly",1.8395,69.8489,77.9694,77.2199,27.8099,1.1687,,100,60,2.0,,79.3,76.9086,84.0828,market,pending
VIE.PA,2026-05-05 00:00:00+02:00,35.29999923706055,35.90999984741211,35.25,35.66999816894531,2128933,0.5,"trend,volume_anomaly",0.7311,56.1514,35.4102,35.0066,26.5966,0.5707,,100,65,2.0,,35.67,34.7195,37.5709,market,pending
