"id","created_at","ticker","quantity","entry_price","limit_price","stop_loss","take_profit","trailing_stop_distance","execution_method","scale_count","risk_amount","risk_reward","status","metadata"
"6044558d","2026-05-06T16:11:01.605407","MT.AS","18","39.7518","39.354282000000005","38.786","41.6833","0.9658000000000015","limit","1","17.384400000000028","1.9998964588941774","executed","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 75.25, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T14:11:01.603651""}"
"bbd4aea1","2026-05-06T16:11:01.607231","BNP.PA","10","81.92","81.1008","80.3622","85.0357","1.5578000000000003","limit","1","15.578000000000003","2.0000641930928253","cancelled","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 75.25, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T14:11:01.603666""}"
"943f1f52","2026-05-06T16:11:01.608850","CA.PA","58","14.41","14.2659","14.1692","14.8916","0.24080000000000013","limit","1","13.966400000000007","2.0","executed","{""strategy"": ""momentum_cac"", ""entry_score"": 73, ""composite_score"": 74.2, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T14:11:01.603678""}"
"bc6ae8b4","2026-05-06T16:11:01.610385","GLE.PA","14","70.08","69.3792","68.3196","73.6009","1.7604000000000042","limit","1","24.64560000000006","2.000056805271523","cancelled","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 73.5, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T14:11:01.603687""}"
"3bb221bc","2026-05-06T16:11:01.611918","ENGI.PA","36","21.9041","21.685059","21.5334","22.6454","0.37069999999999936","limit","1","13.345199999999977","1.9997302400863237","cancelled","{""strategy"": ""momentum_cac"", ""entry_score"": 73, ""composite_score"": 70.7, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T14:11:01.603697""}"
"bb87f130","2026-05-06T16:11:01.613443","STMPA.PA","20","23.3616","23.127983999999998","22.643","24.7989","0.7185999999999986","limit","1","14.371999999999971","2.000139159476765","cancelled","{""strategy"": ""momentum_cac"", ""entry_score"": 73, ""composite_score"": 68.95, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T14:11:01.603705""}"
"688c13f0","2026-05-06T16:11:01.614937","CS.PA","23","40.95","40.5405","40.2841","42.2819","0.6659000000000006","limit","1","15.315700000000014","2.0001501726985977","executed","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 68.25, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T14:11:01.603714""}"
"fca5c9ab","2026-01-05T09:00:00.000000","MT.AS","18","39.3528","38.959272","38.2807","41.4971","1.072099999999999","limit","1","19.29779999999998","2.0000932748810776","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 77.0, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"c27f317c","2026-01-05T09:00:00.000000","EN.PA","18","43.553","43.11747","42.8373","44.9845","0.7156999999999982","limit","1","12.882599999999968","2.0001397233477762","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 77.0, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"25578971","2026-01-05T09:00:00.000000","GLE.PA","14","70.32","69.6168","68.5586","73.8429","1.7613999999999947","limit","1","24.659599999999926","2.0000567730214702","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 77.0, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"9d6aed69","2026-01-05T09:00:00.000000","STMPA.PA","20","23.6706","23.433894","22.9528","25.1062","0.7178000000000004","limit","1","14.356000000000009","2.0","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 75.25, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"0b992dd2","2026-01-05T09:00:00.000000","AIR.PA","5","204.2263","202.18403700000002","198.9714","214.7361","5.2549000000000206","limit","1","26.274500000000103","1.9999999999999891","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 73, ""composite_score"": 74.2, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"8f3269d8","2026-01-05T09:00:00.000000","BNP.PA","10","81.87","81.0513","80.2391","85.1319","1.6309000000000111","limit","1","16.30900000000011","2.0000613158378657","executed","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 71.75, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"a9da1e48","2026-01-05T09:00:00.000000","ERF.PA","16","66.3545","65.690955","64.45","70.1635","1.9044999999999987","limit","1","30.47199999999998","2.0","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 71.75, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"113cf3f5","2026-01-05T09:00:00.000000","CA.PA","58","14.225","14.082749999999999","13.953","14.7689","0.27200000000000024","limit","1","15.776000000000014","1.9996323529411772","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 73, ""composite_score"": 68.95, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"92d3fe9d","2026-01-05T09:00:00.000000","ACA.PA","57","17.75","17.5725","17.4476","18.3547","0.30239999999999867","limit","1","17.236799999999924","1.9996693121693248","executed","{""strategy"": ""momentum_cac"", ""entry_score"": 73, ""composite_score"": 68.95, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"aa504ccc","2026-01-05T09:00:00.000000","ENGI.PA","36","21.8373","21.618927","21.4434","22.6252","0.3938999999999986","limit","1","14.180399999999949","2.0002538715410085","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 73, ""composite_score"": 68.95, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-05T09:00:00.000000""}"
"5095abb4","2026-01-06T09:00:00.000000","MT.AS","18","39.5324","39.137076","38.5047","41.5877","1.027700000000003","limit","1","18.498600000000053","1.9999026953390966","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 82.25, ""rr_ratio"": 2.0, ""recommendation"": ""STRONG BUY"", ""timestamp"": ""2026-01-06T09:00:00.000000""}"
"2ec071de","2026-01-06T09:00:00.000000","AIR.PA","5","205.6009","203.544891","200.5276","215.7476","5.073299999999989","limit","1","25.366499999999945","2.0000197110362152","expired","{""strategy"": ""momentum_cac"", ""entry_score"": 80, ""composite_score"": 77.0, ""rr_ratio"": 2.0, ""recommendation"": ""BUY"", ""timestamp"": ""2026-01-06T09:00:00.000000""}"
