ticker,date,open,high,low,close,volume,signal_score,signals,atr_14,rsi_9,ema_10,ema_20,adx_20,macd_12_26,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
BNP.PA,2026-05-06 00:00:00+02:00,90.0,94.72000122070312,89.9800033569336,93.7300033569336,1362599,1.0,"momentum,trend,volume_anomaly",3.0056,70.3568,90.3334,89.7317,28.2302,0.8053,80,55,2.0,,93.73,89.8227,101.5445,market,pending
DSY.PA,2026-05-06 00:00:00+02:00,19.614999771118164,20.40999984741211,19.375,20.139999389648438,674296,0.35,trend,0.6378,80.5787,19.2843,18.8688,35.2247,0.4442,73,55,2.0,,20.14,19.3109,21.7983,market,pending
ML.PA,2026-05-06 00:00:00+02:00,31.5,32.75,31.489999771118164,32.369998931884766,872738,0.35,trend,0.8177,73.7896,31.4744,31.2369,30.0787,0.2883,73,60,2.0,,32.37,31.307,34.4961,market,pending
SGO.PA,2026-05-06 00:00:00+02:00,76.77999877929688,81.80000305175781,76.73999786376953,80.5,648563,0.85,"momentum,trend",2.8246,70.601,77.3764,76.7562,40.1767,0.6481,80,55,2.0,,80.5,76.828,87.844,market,pending
STMPA.PA,2026-05-06 00:00:00+02:00,49.0,49.59000015258789,47.834999084472656,47.959999084472656,1125650,0.5,"trend,volume_anomaly",2.1029,80.8684,44.3658,40.6097,58.9642,4.5257,80,65,2.0,,47.96,45.2262,53.4276,market,pending
VIE.PA,2026-05-06 00:00:00+02:00,35.66999816894531,36.38999938964844,35.22999954223633,36.150001525878906,830304,0.85,"momentum,trend",0.7883,65.1166,35.5447,35.1155,26.7007,0.593,80,60,2.0,,36.15,35.1252,38.1996,market,pending
